ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,6,False,Autosensing,China,870.0,650.0,Each individual model number listed above,TR-GDZ60-09E,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry Full Load,230.0,New Zealand,Approved,52233,4.702,,Vented,600.0,,,,Unavailable,,
AS/NZS 2442.2:2000/Amdt 2:2007,SMEG,6,,Timer,,590.0,850.0,Each individual model number listed above,SD727,AS/NZS 2442.1:1996,294,1.483,1.0,Used Once A Week,120.0,New Zealand,Approved,15396,4.67,,Condenser,596.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,ACQUA,6,False,Autosensing,China,,,Each individual model number listed above,GY-ESD60W,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry/Full Load,230.0,New Zealand,Approved,56709,4.702,,Vented,,,,,Available,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Timer,New Zealand,,,Each individual model number listed above,DE45F56AW1,AS/NZS 2442.1:1996,234,1.11,1.0,Regular,140.0,"Australia,New Zealand",Approved,36454,3.497,,Vented,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,SMEG,6,,Autosensing,United Kingdom,580.0,850.0,single,SCD777,AS/NZS 2442.1:1996,291,1.546,1.5,Extra dry,176.0,New Zealand,Approved,18011,4.65,,Condenser,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,SMEG,6,,Autosensing,United Kingdom,580.0,850.0,single,SCD772,AS/NZS 2442.1:1996,291,1.546,1.5,Extra dry,176.0,New Zealand,Approved,18011,4.65,,Condenser,595.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,BAUMATIC,5,False,Timer,Chile,525.0,600.0,single,BK6DR2003,AS/NZS 2442.1:1996,240,1.6,1.5,COTTON,170.0,New Zealand,Approved,30406,3.883,,Vented,885.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,BAUMATIC,5,,Timer,Chile,525.0,600.0,Each individual model number listed above,BK6DR2000,AS/NZS 2442.1:1996,240,1.6097,1.5,Cotton,170.0,New Zealand,Approved,22153,3.883,,Vented,885.0,,,,Unavailable,http://www.applico.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,3.5,False,Manual,New Zealand,,,single,DE35F56AW1,AS/NZS 2442.1:1996,190,0.86,1.0,Regular,110.0,"Australia,New Zealand",Approved,36682,2.722,,Vented,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,5,True,Autosensing,"""Korea, Republic of""",,,single,WD12490FD,AS/NZS 2442.1:1996,204,2.6503,2.5,"Dry-Eco, 1200 rpm",226.0,"Australia,New Zealand",Superseded,39962,4.02,15.0,Condenser,,2014-10-06,2013-10-23,,Unavailable,,
