Record ID,Status,Brand Name,Model Number,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL
77365,Approved,hp,HSTND-4001-L,"Australia,New Zealand",China,58.421,LCD (LED),93.0,1.648,4.46774432293,4.0,,http://www.hp.com/
77365,Approved,hp,S231d,"Australia,New Zealand",China,58.421,LCD (LED),93.0,1.648,4.46774432293,4.0,,http://www.hp.com/
79894,Approved,LG,23M45VA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",58.422,LCD,90.0,0.266,4.61459679684,4.5,,
76741,Approved,PHILIPS,221S3L,"Australia,New Zealand",Taiwan,54.687,LCD (LED),67.0,0.5,5.54598233213,5.5,,http://www.philips.com/
73264,Approved,DELL,E2214Hb,"Australia,Fiji,New Zealand",China,54.626,LCD (LED),68.0,0.22,5.47451356025,5.0,http://www.tuv.com/,
79262,Approved,LG,24MB35PYI,"Australia,New Zealand","China,Indonesia,""Korea, Republic of""",60.468,LCD,100.0,0.196,4.35370578031,4.0,,
76213,Approved,NEC,AS193i,"Australia,New Zealand",China,47.996,LCD,63.0,0.1,5.45812438919,5.0,http://www.nec-display.com/global/,http://www.nec.com.au
75400,Approved,lenovo,LT1423pwCA,"Australia,Fiji,New Zealand",China,33.706,LCD,30.0,0.47,6.85277680106,6.0,,
73231,Approved,lenovo,LS2323wA,"Australia,New Zealand",China,58.489,LCD (LED),84.0,0.29,4.93052023674,4.5,,http://www.lenovo.com/
80038,Approved,ViewSonic,VS15826,"Australia,New Zealand",China,43.26,LCD (LED),46.0,0.27,6.31629476231,6.0,,http://www.viewsonic.com/
73741,Approved,AOC,270LM00005,"Australia,New Zealand",China,68.599,LCD (LED),111.0,0.39,4.69587238475,4.5,,http://www.aocmonitorap.com/
73662,Approved,FUJITSU,P24W-6,"Australia,New Zealand",Germany,61.132,LCD (LED),76.0,0.6,5.80960394799,5.5,,http://www.fujitsu.com/
73661,Approved,FUJITSU,P23T-6 IPS,"Australia,New Zealand",Germany,58.421,LCD (LED),84.0,0.6,4.92387533684,4.5,,http://www.fujitsu.com/
73557,Approved,PHILIPS,278G4D,"Australia,New Zealand",Taiwan,68.579,LCD (LED),122.0,0.3,4.27119602719,4.0,,http://www.philips.com/
73544,Approved,PHILIPS,278C4Q,"Australia,New Zealand",Taiwan,68.579,LCD (LED),124.0,0.32,4.19832580183,4.0,,http://www.philips.com/
73541,Approved,PHILIPS,238C4Q,"Australia,New Zealand",Taiwan,58.421,LCD (LED),112.0,0.31,3.63465110985,3.5,,http://www.philips.com/
73518,Approved,DELL,E2014Hc,"Australia,Fiji,New Zealand",China,49.411,LCD (LED),49.0,0.19,6.33642763102,6.0,,http://www.dell.com/
