ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2040.2:1998 (Legacy),SMEG,7.5,,417,NA,126.4,False,Dual,Chile,True,547.0,Drum,885.0,31.36,No,Top,Drum,S850,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,3.0,,,HEAVY,New Zealand,0.0,26482,Superseded,59.0,157.76,Drum,0.57,540.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2040.2:1998 (Legacy),SMEG,7.5,,419,Heavy,126.76,False,Dual,Chile,False,547.0,Drum,885.0,28.93,No,Top,Drum,S800,AS/NZS 2040.1:2005/Amdt 3:2010,3.12,3.0,,,Confirmed,New Zealand,0.0,34578,Superseded,57.0,155.7,Drum,0.62,540.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),TECHNIKA,7,,402,,41.6,False,Dual,Turkey,,,Drum,,9.9,Yes on the warm wash program only,Front,Drum,TFLE1200,AS/NZS 2040.1:2005/Amdt 3:2010,3.0652,3.0,,,"Cotton, 60 degrees","Australia,New Zealand",,26003,Superseded,130.0,51.5,Drum,0.615,,2011-04-18,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,7,,257,Cotton 40 (Linen/Easycare 40),74.9,False,Cold,Germany,,600.0,Drum,850.0,0.5,Yes on the warm wash program only,Front,Drum,LL1600,AS/NZS 2040.1:2005/Amdt 3:2010,4.162,4.0,,,Linen/Easycare 40,New Zealand,,33616,Superseded,132.0,75.4,Drum,0.552,600.0,,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,5,41,546,Normal ,81.6,False,Dual,Thailand,,,Non Drum,,30.2,No,Top,Impeller,WF-T506,AS/NZS 2040.1:2005/Amdt 3:2010,1.31995807,1.0,,,Normal ,"Australia,New Zealand",,27467,Superseded,56.0,111.8,Non-Drum,0.777,,2011-06-22,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7.5,76,847,Normal ,124.3,False,Dual,Thailand,,,Non Drum,,44.6,No,Top,Impeller,WT-H755TH,AS/NZS 2040.1:2005/Amdt 3:2010,1.2380709,1.0,,,Normal ,"Australia,New Zealand",,27513,Superseded,86.0,168.9,Non-Drum,0.773,,2011-06-25,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,6.5,51,726,Normal ,102.0,False,Dual,Thailand,,,Non Drum,,40.1,No,Top,Impeller,WF-T656,AS/NZS 2040.1:2005/Amdt 3:2010,1.2527008,1.0,,,Normal ,"Australia,New Zealand",,27483,Superseded,60.0,142.1,Non-Drum,0.789,,2011-06-25,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,5.5,57,654,Normal ,79.9,False,Dual,Thailand,,,Non Drum,,33.5,No,Top,Impeller,WT-H555TH,AS/NZS 2040.1:2005/Amdt 3:2010,1.09528053,1.0,,,Normal ,"Australia,New Zealand",,27511,Superseded,74.0,113.4,Non-Drum,0.786,,2011-06-25,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,5.5,,165,,60.2,False,Cold,Germany,,603.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,L50600,AS/NZS 2040.1:2005/Amdt 3:2010,4.2996,4.0,,,Linen Easy - Cares 40 C,"Australia,New Zealand",,27145,Superseded,114.0,60.2,Drum,0.68,600.0,2011-10-10,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,7,,261,,84.4,False,Cold,Germany,,640.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,L86800,AS/NZS 2040.1:2005/Amdt 3:2010,4.1323,4.0,,,Linen Easy - Cares 40 C,"Australia,New Zealand",,27165,Superseded,134.0,84.4,Drum,0.55,600.0,2011-10-10,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,6,,219,,71.3,False,Cold,Germany,,640.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,L74800,AS/NZS 2040.1:2005/Amdt 3:2010,4.0697,4.0,,,Cotton Linen  40 C,"Australia,New Zealand",,27167,Superseded,116.0,71.3,Drum,0.607,600.0,2011-10-10,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,10,,238,,76.6,True,Dual,"""Korea, Republic of""",,,Drum,,1.25,Yes on the warm wash program only,Front,Drum,WD-1255RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.9192526,4.5,,,"Cotton 40 C, Intensive, Eco-Steam, Rinse-Normal,1200 rpm","Australia,New Zealand",,27061,Superseded,125.0,77.9,Drum,0.587,,2011-06-21,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,10,,238,,76.6,True,Dual,"""Korea, Republic of""",,,Drum,,1.25,Yes on the warm wash program only,Front,Drum,WD-1256RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.9192526,4.5,,,"Cotton 40 C, Intensive, Eco-Steam, Rinse-Normal,1200 rpm","Australia,New Zealand",,27061,Superseded,125.0,77.9,Drum,0.587,,2011-06-21,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7,,206,,70.6,True,Dual,"""Korea, Republic of""",,550.0,Drum,850.0,0.9,Yes on the warm wash program only,Front,Drum,WD-1438RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.56522313,4.5,,,"Cotton 40 C, Intensive, 1400 rpm","Australia,New Zealand",,26575,Superseded,154.0,71.5,Drum,0.574,600.0,2011-06-21,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,5.5,42,659,Normal ,71.4,False,Dual,Thailand,,,Non Drum,,35.0,No,Top,Impeller,WF-T556,AS/NZS 2040.1:2005/Amdt 3:2010,1.00654326,1.0,,,Normal ,"Australia,New Zealand",,27471,Superseded,58.0,106.4,Non-Drum,0.881,,2011-06-25,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7,,235,,68.6,False,Dual,China,,,Drum,,0.9,Yes on the warm wash program only,Front,Drum,WD-8015C,AS/NZS 2040.1:2005/Amdt 3:2010,4.1762883,4.0,,,"Cotton 40 C, 800  rpm","Australia,New Zealand",,27459,Superseded,159.0,69.5,Drum,0.638,,2011-06-21,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),KLEENMAID,6.5,,215,"Cotton 40 degrees C, ",66.9,False,Dual,Slovenia,,,Drum,,,Yes on the warm wash program only,Front,Drum,KFL1000,AS/NZS 2040.1:2005/Amdt 3:2010,4.06,4.0,,,Cotton 40 degrees C,"Australia,New Zealand",,28043,Superseded,128.0,66.8,Drum,0.711,,2011-08-16,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,6,,235,,82.6,False,Cold,Germany,,640.0,Drum,850.0,,Yes on the warm wash program only,Front,Drum,L62800,AS/NZS 2040.1:2005/Amdt 3:2010,3.8811,3.5,,,Cotton Linen 40 C,"Australia,New Zealand",,26471,Superseded,117.0,82.6,Drum,0.632,600.0,2011-06-25,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),CONIA,5,,358,,51.0,False,Cold,China,,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,CWM5002F,AS/NZS 2040.1:2005/Amdt 3:2010,2.209,2.0,,,"Cottons cycles, Intensive, 60 deg.C",New Zealand,,25265,Superseded,105.0,51.0,Drum,0.911,,2011-04-27,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,7,,380,,57.2,False,Dual,Italy,,,Drum,,14.3,Yes on the warm wash program only,Front,Drum,WIL102,AS/NZS 2040.1:2005/Amdt 3:2010,3.097,3.0,,,"Program No.3, Cotton 60C, 1000RPM","Australia,New Zealand",,27997,Superseded,99.1,71.5,Drum,0.687,,2011-08-14,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,7,,380,,57.2,False,Dual,Italy,,,Drum,,14.3,Yes on the warm wash program only,Front,Drum,WI102,AS/NZS 2040.1:2005/Amdt 3:2010,3.097,3.0,,,"Program No.3, Cotton 60C, 1000RPM","Australia,New Zealand",,27997,Superseded,99.1,71.5,Drum,0.687,,2011-08-14,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,8,,254,,73.5,True,Dual,"""Korea, Republic of""",,,Drum,,1.0,Yes on the warm wash program only,Front,Drum,WD-1488RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.5651159,4.5,,,"Cotton 40 C, Intensive, Rinse-Normal,1400 rpm","Australia,New Zealand",,26569,Superseded,148.0,74.5,Drum,0.504,,2011-06-21,2007-03-31,,Unavailable,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,6.5,62,509,"Regular, Cold, High, ECO",64.4,False,Dual,New Zealand,,,Non Drum,,26.3,No,Top,Agitator,MW612,AS/NZS 2040.1:2005/Amdt 3:2010,2.24,2.0,,,"Regular, Warm, High, ECO",New Zealand,,25359,Superseded,43.0,91.0,Non-Drum,0.68,,,2007-03-31,,Available,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6,,274,,56.3,False,Dual,Italy,,,Drum,,12.1,Yes on the warm wash program only,Front,Drum,WI 62,AS/NZS 2040.1:2005/Amdt 3:2010,3.2708,3.0,,,"Program No.3,Cotton 40C, 600RPM","Australia,New Zealand",,24780,Superseded,90.5,68.4,Drum,0.818,,2011-04-26,2007-03-31,,Available,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6,,274,,56.3,False,Dual,Italy,,,Drum,,12.1,Yes on the warm wash program only,Front,Drum,WIL62,AS/NZS 2040.1:2005/Amdt 3:2010,3.2708,3.0,,,"Program No.3,Cotton 40C, 600RPM","Australia,New Zealand",,24780,Superseded,90.5,68.4,Drum,0.818,,2011-04-26,2007-03-31,,Available,,
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,133,327,,57.0,,Dual,Italy,,,,,11.0,,Front,Drum,WD11,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,3.0,,,"No 2, 40 C",New Zealand,,12844,Approved,122.0,68.0,Drum,0.6,,,,,Available,,
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,266,277,,54.0,,Dual,Italy,,,,,0.0,,Front,Drum,WE12,AS/NZS 2040.1:2005/Amdt 3:2010,3.6,3.5,,,"Cotton No3, 40 C",New Zealand,,12843,Approved,145.0,55.0,Drum,0.58,,,,,Available,,
AS/NZS 2040.2:2000 (Legacy),Haier,5,90,480,"Warm/cold, Large, Normal Wash",107.47,,Dual,China,,,,,20.7,,Top,Agitator,XQJ50 31A,AS/NZS 2040.1:2005/Amdt 3:2010,1.59,1.5,,,"Warm/cold, Large, Normal wash",New Zealand,,12656,Approved,60.0,128.17,Non-Drum,0.838,,,,,Available,,
AS/NZS 2040.2:2000 (Legacy),INDESIT,5.5,230,240,,75.0,,Dual,Italy,,,,,0.0,,Front,Drum,W93,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,3.5,,,"Cotton No 4, 40C",New Zealand,,12841,Approved,91.0,75.0,Drum,0.72,,,,,Available,,
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,377,heavy Program,105.0,,Dual,Chile,,,,,25.0,,Top,Impeller,S650,AS/NZS 2040.1:2005/Amdt 3:2010,2.93,2.5,,,warm wash,New Zealand,,18008,Approved,62.0,129.0,Non-Drum,0.7,,,,,Available,http://www.applico.co.nz/,
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,380,heavy Program,112.0,,Dual,Chile,,,,,25.0,,Top,Impeller,S750,AS/NZS 2040.1:2005/Amdt 3:2010,2.92,2.5,,,warm wash,New Zealand,,18007,Approved,53.0,137.0,Non-Drum,0.69,,,,,Available,http://www.applico.co.nz/,
AS/NZS 2040.2:2000 (Legacy),MALBER,6,,231,,56.7,,Cold,Italy,,545.0,,850.0,0.5,,Front,Drum,6,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,3.5,,,P3,"Australia,New Zealand",,19116,Approved,120.0,57.2,Drum,0.673,595.0,,,,Available,,
AS/NZS 2040.2:2000 (Legacy),CANDY,5,,654,,62.3,True,Dual,Italy,,,Drum,,0.5,,Front,Drum,CB 103 TR,AS/NZS 2040.1:2005/Amdt 3:2010,0.9468,1.0,,,"Program 1, Temp  90 C",New Zealand,,21310,Approved,124.0,62.8,Drum,0.64,,,,,Available,,
AS/NZS 2040.2:2005,CANDY,8,,272,,77.9,False,Cold,Italy,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,GO 1282 D/1-04S,AS/NZS 2040.1:2005/Amdt 3:2010,4.1633,4.0,0.0,1.3,Cotton 40 Maximum Soiling,"Australia,New Zealand",0.17,47002,Superseded,172.0,77.9,Drum,0.63167,,2015-01-26,2013-10-23,,Unavailable,,
AS/NZS 2040.2:2005,FISHER & PAYKEL,5.5,55,464,,49.0,False,Dual,New Zealand,True,,Non Drum,,24.0,No,Top,Agitator,MW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.07383,2.0,0.001,1.2,"Regular, High, Warm, Eco","Australia,New Zealand",0.0,26340,Approved,45.0,73.0,Non-Drum,0.67,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,FISHER & PAYKEL,6.5,62,554,,63.0,False,Dual,New Zealand,True,,Non Drum,,28.0,No,Top,Agitator,GW612,AS/NZS 2040.1:2005/Amdt 3:2010,2.05987,2.0,0.001,1.2,"Regular, Auto, Warm/Cold, Eco","Australia,New Zealand",0.0,26336,Approved,45.0,91.0,Non-Drum,0.65,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,FISHER & PAYKEL,7.5,60,645,,70.0,False,Dual,New Zealand,True,,Non Drum,,32.0,No,Top,Agitator,GW712,AS/NZS 2040.1:2005/Amdt 3:2010,2.05028,2.0,0.001,1.2,"Regular, Auto, Warm/Cold, Eco","Australia,New Zealand",0.0,30871,Approved,47.0,103.0,Non-Drum,0.64,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,FISHER & PAYKEL,8,65,321,,67.02,False,Dual,New Zealand,True,,Drum,,14.66,No,Top,Agitator,WL80T65CW1,AS/NZS 2040.1:2005/Amdt 3:2010,3.83,3.5,0.001,1.4,"Regular, High efficiency, Warm/Cold.","Australia,New Zealand",0.0,30348,Approved,55.0,81.69,Non-Drum,0.63,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,FISHER & PAYKEL,5.5,46,474,,49.0,False,Dual,New Zealand,True,,Non Drum,,25.0,No,Top,Agitator,IW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.04315,2.0,0.001,1.2,"Default,Cold/Warm, Eco(Save Water++)",New Zealand,0.0,26686,Approved,42.0,74.0,Non-Drum,0.64,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,FISHER & PAYKEL,7,68,284,,79.0,False,Dual,New Zealand,True,,Non Drum,,12.0,No,Top,Agitator,IW712,AS/NZS 2040.1:2005/Amdt 3:2010,3.77428,3.5,0.001,1.3,"Default, Cold/Warm, Eco (Save Water++)","Australia,New Zealand",0.0,26344,Approved,47.0,92.0,Non-Drum,0.65,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,FISHER & PAYKEL,5.5,55,474,,50.94,False,Dual,New Zealand,True,,Non Drum,,24.6,No,Top,Agitator,MW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.0385,2.0,0.001,1.2,"Regular, High, Warm, Eco","Australia,New Zealand",0.0,32132,Approved,40.0,75.54,Non-Drum,0.65,,,,,Unavailable,http://www.fisherpaykel.co.nz/,
AS/NZS 2040.2:2005,ASKO,7,,180,NORMAL 40 DEGREE,60.0,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,W6884,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,5.0,0.21,0.28,NORMAL 40 DEGREE,New Zealand,0.28,57810,Approved,186.0,60.0,Drum,0.49,595.0,,,,Unavailable,,http://www.asko.org.nz
AS/NZS 2040.2:2005,ARDA,5.5,39,341,"Select Normal Current, cold wash 15min, spin 2 x 2min, Rinse 5min, spin 2 x 2min.",69.6,False,Cold,China,False,466.0,Non Drum,1006.0,18.4,No,Twin Tub,Impeller,RVTT55M,AS/NZS 2040.1:2005/Amdt 3:2010,2.67,2.5,0.001,0.001,"Select Normal Current, warm wash 15min, spin 2 x 2min, Rinse 5min, spin 2 x 2min.","Australia,New Zealand",0.0,50462,Superseded,59.0,88.0,Non-Drum,0.79,755.0,2015-06-30,2013-10-23,,Unavailable,,http://www.technika.com.au
