ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),FRANKE,12,433,Single,,,,,,TR60 ISX2,AS/NZS 2007.1:2005,1.7978,1.5,,,Normal 55C,80.0,"Australia,New Zealand",,25464,Superseded,15.7,Built-in,True,,2011-05-18,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TEKA,12,256,Single,Italy,,600.0,850.0,,DW7 80 FIA,AS/NZS 2007.1:2005,3.27,3.0,,,Normal ECO,117.0,Australia,,27270,Superseded,16.9,Freestanding,False,600.0,2011-09-07,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TEKA,12,256,Single,Italy,,600.0,850.0,,DW7 60 FIA,AS/NZS 2007.1:2005,3.27,3.0,,,Normal ECO,117.0,Australia,,27270,Superseded,16.9,Freestanding,False,600.0,2011-09-07,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TEKA,12,256,Single,Italy,,600.0,850.0,,DW7 60 SA,AS/NZS 2007.1:2005,3.27,3.0,,,Normal ECO,117.0,Australia,,27270,Superseded,16.9,Freestanding,False,600.0,2011-09-07,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TEKA,12,256,Single,Italy,,600.0,850.0,,DW7 59 FIA,AS/NZS 2007.1:2005,3.27,3.0,,,Normal ECO,117.0,Australia,,27270,Superseded,16.9,Freestanding,False,600.0,2011-09-07,2007-03-31,,Available,,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,10,332,Single,Italy,,450.0,820.0,,SNZ414,AS/NZS 2007.1:2005,2.0336,2.0,,, Normal eco,67.0,New Zealand,,27917,Superseded,12.0,Freestanding,False,450.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,10,332,Single,Italy,,450.0,820.0,,SNZ414IS,AS/NZS 2007.1:2005,2.0336,2.0,,, Normal eco,67.0,New Zealand,,27917,Superseded,12.0,Freestanding,False,450.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,14,270,Single,Italy,,600.0,850.0,,SNZ614X,AS/NZS 2007.1:2005,3.55,3.5,,,Normal ECO,123.0,New Zealand,,30212,Superseded,16.9,Freestanding,False,600.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,14,270,Single,Italy,,600.0,850.0,,SNZ693S,AS/NZS 2007.1:2005,3.55,3.5,,,Normal ECO,123.0,New Zealand,,30212,Superseded,16.9,Freestanding,False,600.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,14,270,Single,Italy,,600.0,850.0,,SNZ693IS,AS/NZS 2007.1:2005,3.55,3.5,,,Normal ECO,123.0,New Zealand,,30212,Superseded,16.9,Freestanding,False,600.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,14,270,Single,Italy,,600.0,850.0,,ST93P,AS/NZS 2007.1:2005,3.55,3.5,,,Normal ECO,123.0,New Zealand,,30212,Superseded,16.9,Freestanding,False,600.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,14,270,Single,Italy,,600.0,850.0,,SA614X,AS/NZS 2007.1:2005,3.55,3.5,,,Normal ECO,123.0,New Zealand,,30212,Superseded,16.9,Freestanding,False,600.0,,2007-03-31,,Available,http://www.applico.co.nz/,
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),TEKA,10,335,Single,Italy,,600.0,850.0,,DW7 45 FIA,AS/NZS 2007.1:2005,2.008,2.0,,,Normal ECO,71.0,Australia,,27873,Superseded,16.6,Freestanding,False,450.0,2011-09-07,2007-03-31,,Available,,
