Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model Name,Model No,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
,AS/NZS 4474.2:2000 (Legacy),SMEG,481,"246.0,20.0",,"Fresh Food,Freezer",Upright,Slovenia,,Refrigerator/Freezer,246,20,,,False,,Each individual model number listed above,FAB28A,AS/NZS 4474.1:2007,,,,,,,8940,Superseded,266.0,,2006-11-12,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),DAEWOO,560,"247.0,98.0","203.0,72.0","Fresh Food,Freezer",Upright,"""Korea, Republic of""",625.0,Refrigerator/Freezer,247,98,,1677.0,False,,Each individual model number listed above,FDF-345,AS/NZS 4474.1:2007,,,,,,,8676,Superseded,345.0,667.0,2005-09-30,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),LG,710,,,,Upright,"""Korea, Republic of""",717.0,Refrigerator/Freezer,297,135,,1715.0,False,,Each individual model number listed above,GR-482SF,AS/NZS 4474.1:2007,,,,,,,8689,Superseded,,680.0,2005-09-30,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),LG,728,,,,Upright,"""Korea, Republic of""",667.0,Refrigerator/Freezer,269,123,,1715.0,False,,Each individual model number listed above,GR-432SF,AS/NZS 4474.1:2007,,,,,,,8688,Superseded,,680.0,2005-09-30,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),Haier,1018,"137.0,289.0","115.0,240.0","Freezer,Fresh Food",Upright,China,860.0,Refrigerator/Freezer,289,137,,1584.0,False,,Each individual model number listed above,HRF-488FR/ASS,AS/NZS 4474.1:2007,,,,,,,8991,Superseded,426.0,714.0,2007-01-24,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),GE,628,"260.0,98.0","216.0,72.0","Fresh Food,Freezer",Upright,"""Korea, Republic of""",625.0,Refrigerator/Freezer,260,98,,1677.0,False,,Each individual model number listed above,GTU358BAMR,AS/NZS 4474.1:2007,,,,,,,8979,Superseded,358.0,667.0,2006-12-19,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),Haier,399,"70.0,30.0","67.0,28.0","Fresh Food,Short term frozen food",Upright,China,530.0,Refrigerator,70,30,,890.0,False,,Each individual model number listed above,BCD-95,AS/NZS 4474.1:2007,,,,,,,8987,Superseded,100.0,500.0,2007-01-24,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),Haier,1018,"137.0,289.0","115.0,240.0","Freezer,Fresh Food",Upright,China,860.0,Refrigerator/Freezer,289,137,,1584.0,False,,Each individual model number listed above,HRF-488FR/A,AS/NZS 4474.1:2007,,,,,,,8988,Superseded,426.0,714.0,2007-01-24,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),Haier,1010,"151.0,390.0","125.0,340.0","Freezer,Fresh Food",Upright,China,860.0,Refrigerator/Freezer,390,151,,1684.0,False,,Each individual model number listed above,HRF-588FR/A,AS/NZS 4474.1:2007,,,,,,,8989,Superseded,541.0,798.0,2007-01-24,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),Haier,1010,"151.0,390.0","125.0,340.0","Freezer,Fresh Food",Upright,China,860.0,Refrigerator/Freezer,390,151,,1684.0,False,,Each individual model number listed above,HRF-588FR/ASS,AS/NZS 4474.1:2007,,,,,,,8990,Superseded,541.0,798.0,2007-01-24,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),LG,760,"122.0,183.0",,"Freezer,Fresh Food",Upright,"""Korea, Republic of""",626.0,Refrigerator/Freezer,183,122,,1710.0,False,,Each individual model number listed above,GR-349STQ,AS/NZS 4474.1:2007,,,,,,,8942,Superseded,305.0,595.0,2006-11-12,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),LG,665,,,,Upright,"""Korea, Republic of""",683.0,Refrigerator/Freezer,318,117,,1777.0,False,,Each individual model number listed above,GR-T542G,AS/NZS 4474.1:2007,,,,,,,8690,Superseded,,755.0,2005-09-30,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),LG,795,"139.0,304.0",,"Freezer,Fresh Food",Upright,"""Korea, Republic of""",737.0,Refrigerator/Freezer,304,139,,1725.0,False,,Each individual model number listed above,GR-T502G,AS/NZS 4474.1:2007,,,,,,,8928,Superseded,443.0,680.0,2006-09-27,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),WHITE QUEEN,367,"141.0,0.0,0.0","132.0,0.0,0.0","Fresh Food,,",Upright,China,500.0,Refrigerator,141,0,,1120.0,False,,Each individual model number listed above,HR-170T,AS/NZS 4474.1:2007,,,,,,,8925,Superseded,141.0,500.0,2006-09-27,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),TONGTEL,363,"13.7,97.7","13.3,96.6","Chill,Fresh Food",Upright,China,500.0,Refrigerator,98,0,,840.0,False,,Each individual model number listed above,BC-110/H,AS/NZS 4474.1:2007,,,,,,,8943,Superseded,111.4,500.0,2006-11-12,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),LG,996,,,,Side by Side,"""Korea, Republic of""",840.0,Refrigerator/Freezer,426,265,,1750.0,True,,Each individual model number listed above,GR-L247EQ,AS/NZS 4474.1:2007,,,,,,,8683,Superseded,,890.0,2005-09-30,2005-02-01,,Available,,
,AS/NZS 4474.2:2000 (Legacy),TONGTEL,287,"6.11,49.37","4.86,49.2","Chill,Fresh Food",Upright,China,512.0,Refrigerator,49,0,,500.0,False,,Each individual model number listed above,BC-50N/H,AS/NZS 4474.1:2007,,,,,,,8941,Superseded,55.48,439.0,2006-11-12,2004-12-31,,Available,,
